Idade_Anos,Renda_Mensal_Mil_RS,Possui_Carro,Distancia_Viagem_Km,Acesso_TP_Estacao_Prox,Tempo_Viagem_Carro_Min,Tempo_Viagem_TP_Min,Custo_Viagem_Carro_RS,Custo_Viagem_TP_RS,Escolha_Modal_Label,Escolha_Modal
55,7.1,Nao,16.6,Sim,29.3,57.4,24.6,9,Carro_Particular,0
57,12.3,Sim,16.2,Nao,28.7,55.4,24.9,13,Carro_Particular,0
37,8.0,Sim,25.6,Sim,45.7,76.7,33.7,4,Transporte_Publico,1
52,9.6,Sim,25.4,Nao,48.4,72.6,29.0,11,Carro_Particular,0
65,11.4,Sim,25.1,Sim,55.4,78.0,38.2,11,Carro_Particular,0
42,11.4,Nao,1.3,Nao,9.8,5.0,5.0,13,Carro_Particular,0
52,4.8,Nao,22.7,Sim,45.9,83.9,37.6,6,Carro_Particular,0
42,14.0,Sim,23.0,Sim,44.4,74.2,37.5,9,Carro_Particular,0
46,2.7,Nao,20.7,Nao,45.4,69.0,32.9,14,Carro_Particular,0
35,3.6,Sim,22.9,Sim,34.0,60.1,29.7,11,Carro_Particular,0
63,1.1,Sim,25.4,Sim,45.5,86.5,41.9,8,Transporte_Publico,1
35,3.2,Sim,14.6,Sim,17.6,40.1,16.7,5,Carro_Particular,0
19,10.0,Sim,15.6,Sim,25.9,39.2,28.9,6,Transporte_Publico,1
52,12.5,Sim,4.6,Sim,5.4,13.5,6.5,10,Carro_Particular,0
33,16.1,Nao,12.2,Nao,31.8,36.1,18.0,11,Carro_Particular,0
58,3.0,Sim,19.7,Sim,25.6,50.5,33.9,5,Carro_Particular,0
53,17.2,Sim,23.6,Nao,45.1,63.6,40.4,10,Carro_Particular,0
50,15.2,Sim,7.3,Nao,17.7,14.1,14.8,10,Carro_Particular,0
21,8.8,Sim,5.0,Nao,12.1,7.3,5.0,9,Carro_Particular,0
50,18.7,Nao,20.2,Sim,47.7,57.5,34.1,11,Transporte_Publico,1
31,19.8,Sim,1.1,Nao,5.0,5.0,5.0,13,Transporte_Publico,1
38,4.9,Sim,6.2,Sim,14.3,13.1,13.2,7,Transporte_Publico,1
65,8.2,Sim,1.8,Nao,5.0,13.8,5.0,13,Carro_Particular,0
37,18.6,Sim,5.8,Nao,6.7,24.0,8.2,5,Carro_Particular,0
25,14.7,Sim,6.3,Nao,5.0,10.5,5.3,5,Carro_Particular,0
24,1.9,Sim,12.2,Sim,27.3,44.3,22.6,6,Transporte_Publico,1
20,15.8,Nao,12.7,Nao,27.1,22.4,24.6,5,Transporte_Publico,1
34,16.7,Nao,26.4,Sim,54.4,90.0,40.6,6,Carro_Particular,0
50,15.3,Sim,15.8,Nao,27.2,57.8,24.5,5,Carro_Particular,0
65,16.2,Sim,22.0,Nao,39.1,61.5,36.5,13,Carro_Particular,0
29,16.7,Sim,4.0,Sim,9.0,15.1,11.6,5,Carro_Particular,0
68,4.5,Sim,7.5,Nao,11.7,11.3,11.4,12,Transporte_Publico,1
39,5.5,Sim,21.4,Sim,37.7,64.7,29.6,4,Carro_Particular,0
39,13.0,Sim,2.5,Sim,5.0,6.0,7.0,14,Carro_Particular,0
63,18.2,Sim,15.1,Sim,26.9,38.6,13.4,11,Transporte_Publico,1
47,7.0,Sim,18.4,Sim,32.5,51.5,32.1,4,Transporte_Publico,1
55,12.2,Sim,18.5,Nao,30.9,51.0,24.2,12,Carro_Particular,0
55,14.0,Sim,1.7,Sim,5.6,5.0,5.0,9,Carro_Particular,0
62,9.6,Sim,10.3,Sim,28.4,24.0,20.0,12,Carro_Particular,0
68,14.6,Sim,19.5,Nao,38.8,47.0,27.2,9,Carro_Particular,0
25,18.1,Sim,5.3,Nao,11.7,22.8,11.2,11,Carro_Particular,0
44,12.9,Nao,21.2,Nao,45.1,56.1,37.5,12,Carro_Particular,0
44,11.3,Sim,22.6,Nao,47.0,58.0,34.5,8,Carro_Particular,0
51,9.3,Nao,29.5,Nao,54.8,90.0,45.8,4,Transporte_Publico,1
38,12.0,Sim,7.1,Sim,22.8,24.3,10.1,13,Transporte_Publico,1
47,7.8,Nao,24.9,Sim,46.0,81.1,37.9,8,Carro_Particular,0
50,8.4,Sim,16.1,Nao,35.4,55.6,18.6,9,Transporte_Publico,1
45,11.1,Nao,11.8,Sim,26.3,50.9,16.2,4,Carro_Particular,0
64,2.3,Nao,4.5,Nao,5.0,12.3,5.0,9,Transporte_Publico,1
50,5.4,Sim,22.3,Sim,42.8,55.2,29.0,15,Transporte_Publico,1
22,11.3,Sim,7.8,Sim,15.9,25.6,5.0,7,Carro_Particular,0
65,9.2,Sim,11.8,Sim,24.3,30.0,19.0,8,Carro_Particular,0
36,7.3,Sim,2.8,Nao,7.1,5.0,12.7,11,Transporte_Publico,1
21,14.9,Sim,24.2,Sim,52.2,73.4,34.0,13,Carro_Particular,0
52,14.2,Sim,23.2,Nao,46.4,76.5,39.6,8,Carro_Particular,0
66,4.2,Sim,22.3,Sim,46.4,60.2,39.1,7,Transporte_Publico,1
34,17.7,Sim,9.7,Sim,19.2,39.3,8.6,14,Transporte_Publico,1
61,10.4,Nao,6.0,Nao,6.9,10.1,5.0,11,Transporte_Publico,1
45,15.1,Sim,19.5,Nao,39.2,56.5,34.2,5,Carro_Particular,0
47,11.9,Nao,15.4,Sim,34.5,49.3,22.6,4,Carro_Particular,0
46,20.0,Sim,6.2,Nao,17.9,15.5,5.0,9,Carro_Particular,0
63,15.3,Sim,20.9,Sim,44.5,48.5,28.2,6,Transporte_Publico,1
70,14.4,Sim,29.7,Sim,60.0,90.0,46.6,6,Transporte_Publico,1
23,15.8,Sim,22.7,Sim,47.5,63.1,30.1,13,Transporte_Publico,1
52,3.7,Nao,22.5,Nao,49.3,73.5,19.9,4,Carro_Particular,0
58,4.9,Sim,28.6,Nao,60.0,75.7,41.3,11,Carro_Particular,0
54,14.6,Nao,6.9,Sim,12.7,12.0,9.1,7,Transporte_Publico,1
41,10.4,Sim,17.4,Nao,38.4,59.1,26.1,12,Carro_Particular,0
46,15.3,Sim,29.4,Sim,54.1,90.0,50.0,12,Carro_Particular,0
66,3.0,Sim,5.8,Sim,13.3,13.9,9.0,4,Transporte_Publico,1
63,11.2,Sim,21.3,Sim,45.5,66.7,33.2,9,Carro_Particular,0
70,8.2,Sim,18.0,Sim,41.3,46.4,32.3,5,Carro_Particular,0
48,9.7,Sim,18.0,Sim,40.1,54.9,27.1,13,Carro_Particular,0
52,12.5,Sim,21.2,Sim,47.7,64.6,42.5,13,Transporte_Publico,1
50,10.5,Sim,28.0,Nao,55.5,81.0,35.7,8,Carro_Particular,0
69,11.3,Sim,23.7,Sim,45.7,64.4,30.9,8,Carro_Particular,0
38,10.2,Sim,2.6,Sim,5.0,8.4,7.0,7,Carro_Particular,0
49,8.8,Sim,25.7,Sim,52.7,76.7,44.8,11,Carro_Particular,0
40,15.7,Sim,7.5,Sim,6.0,18.8,10.2,7,Carro_Particular,0
50,1.2,Sim,11.9,Sim,30.5,27.4,12.8,6,Carro_Particular,0
20,12.4,Sim,14.4,Nao,29.0,43.3,30.4,8,Carro_Particular,0
35,11.7,Sim,14.9,Sim,27.7,41.0,18.4,5,Carro_Particular,0
42,14.6,Sim,13.6,Nao,14.6,32.5,22.1,12,Carro_Particular,0
59,12.4,Sim,28.2,Nao,56.2,84.9,48.9,4,Transporte_Publico,1
48,16.7,Nao,21.5,Sim,42.0,77.4,30.0,11,Carro_Particular,0
20,19.2,Sim,19.3,Nao,34.1,55.0,25.8,6,Carro_Particular,0
57,7.5,Sim,2.4,Sim,5.0,19.2,5.0,6,Carro_Particular,0
63,5.3,Sim,27.2,Nao,54.3,90.0,45.3,11,Carro_Particular,0
41,9.0,Sim,27.4,Sim,51.9,74.6,46.4,15,Carro_Particular,0
67,6.5,Sim,23.6,Sim,50.1,70.9,35.6,12,Transporte_Publico,1
49,12.7,Sim,1.2,Sim,5.0,20.4,11.2,6,Carro_Particular,0
64,18.3,Nao,2.7,Sim,6.2,7.1,5.0,5,Carro_Particular,0
39,3.6,Sim,7.5,Sim,20.9,22.8,17.7,13,Transporte_Publico,1
40,2.9,Sim,4.8,Sim,9.4,5.0,5.0,8,Transporte_Publico,1
19,5.9,Sim,12.6,Sim,27.0,33.5,30.6,5,Transporte_Publico,1
44,14.8,Sim,27.8,Nao,57.1,87.8,49.6,13,Carro_Particular,0
59,12.3,Sim,14.7,Nao,29.4,63.5,21.4,13,Carro_Particular,0
19,2.9,Sim,1.4,Sim,5.0,5.0,9.3,15,Transporte_Publico,1
43,18.5,Sim,9.2,Sim,15.5,14.3,20.7,14,Transporte_Publico,1
34,16.0,Nao,2.3,Nao,5.4,5.0,11.2,13,Transporte_Publico,1
57,1.4,Sim,2.1,Nao,5.0,6.0,5.0,4,Transporte_Publico,1
50,13.4,Sim,9.0,Nao,25.7,36.4,17.1,5,Carro_Particular,0
26,15.7,Sim,9.0,Sim,22.1,32.1,16.2,10,Transporte_Publico,1
60,8.1,Sim,23.8,Sim,40.3,75.1,38.1,9,Carro_Particular,0
65,2.3,Sim,29.3,Sim,51.6,90.0,45.0,9,Transporte_Publico,1
56,2.5,Sim,11.8,Sim,22.9,29.6,18.9,8,Carro_Particular,0
46,3.0,Nao,13.4,Nao,24.8,40.4,26.5,8,Transporte_Publico,1
59,17.0,Nao,25.5,Nao,50.1,72.3,40.9,10,Carro_Particular,0
43,18.3,Sim,8.8,Sim,20.9,24.2,14.3,4,Carro_Particular,0
52,3.3,Nao,5.5,Nao,12.6,8.4,13.9,6,Carro_Particular,0
67,5.5,Sim,25.7,Sim,52.9,74.3,40.6,9,Carro_Particular,0
42,4.1,Sim,2.3,Sim,11.8,6.7,6.0,12,Transporte_Publico,1
41,4.5,Sim,19.0,Sim,31.1,54.0,37.8,5,Carro_Particular,0
30,16.9,Nao,17.3,Nao,35.1,50.6,23.8,10,Carro_Particular,0
24,7.3,Sim,11.0,Sim,19.1,36.2,8.9,11,Transporte_Publico,1
53,6.9,Sim,10.1,Nao,27.4,40.2,15.5,8,Carro_Particular,0
62,5.3,Sim,23.4,Nao,35.8,80.7,36.2,4,Carro_Particular,0
37,12.5,Sim,3.5,Sim,5.0,16.6,8.9,8,Transporte_Publico,1
18,8.2,Sim,7.9,Sim,17.3,13.6,12.4,7,Transporte_Publico,1
25,15.1,Sim,22.2,Nao,50.0,63.7,37.1,14,Carro_Particular,0
63,4.9,Sim,16.9,Sim,37.7,48.5,37.9,5,Carro_Particular,0
33,16.0,Sim,4.7,Nao,5.4,8.8,11.1,11,Carro_Particular,0
31,12.5,Sim,26.6,Nao,60.0,82.5,44.8,4,Carro_Particular,0
29,3.2,Sim,12.4,Sim,18.6,24.4,18.0,8,Transporte_Publico,1
68,8.9,Sim,25.0,Sim,56.5,88.5,30.6,10,Carro_Particular,0
40,17.4,Sim,23.8,Nao,42.1,81.0,24.2,7,Carro_Particular,0
32,18.5,Sim,19.1,Nao,36.4,61.1,26.1,9,Carro_Particular,0
45,9.8,Sim,15.3,Sim,33.8,45.4,10.0,5,Transporte_Publico,1
51,10.1,Sim,29.4,Sim,51.5,90.0,46.7,7,Transporte_Publico,1
19,18.5,Nao,5.2,Sim,17.7,21.1,5.9,10,Carro_Particular,0
49,12.2,Sim,22.0,Nao,42.2,74.9,26.4,7,Carro_Particular,0
40,1.6,Sim,6.5,Nao,13.7,19.0,10.4,13,Carro_Particular,0
39,18.3,Sim,10.8,Nao,27.4,46.7,12.5,10,Carro_Particular,0
68,5.7,Sim,10.0,Sim,16.0,39.3,17.3,8,Carro_Particular,0
42,12.0,Sim,28.5,Sim,60.0,89.6,46.3,4,Carro_Particular,0
39,4.1,Sim,29.1,Nao,60.0,90.0,40.1,9,Transporte_Publico,1
39,1.6,Sim,6.3,Sim,9.3,15.5,8.3,12,Transporte_Publico,1
66,6.9,Sim,1.6,Sim,10.0,5.0,5.0,6,Transporte_Publico,1
69,15.8,Nao,21.9,Sim,35.0,68.3,25.8,12,Carro_Particular,0
59,6.3,Nao,13.1,Nao,28.1,38.8,20.7,6,Carro_Particular,0
23,5.2,Sim,3.6,Nao,5.0,9.2,5.0,13,Carro_Particular,0
32,5.0,Sim,20.8,Sim,46.3,72.1,34.0,4,Carro_Particular,0
60,10.8,Nao,16.8,Sim,37.9,51.7,23.0,13,Transporte_Publico,1
54,19.5,Sim,29.4,Nao,60.0,90.0,36.9,9,Carro_Particular,0
50,9.7,Sim,7.6,Nao,22.3,20.2,8.5,7,Carro_Particular,0
25,11.6,Nao,12.7,Sim,24.6,45.1,16.4,6,Transporte_Publico,1
70,17.4,Sim,16.7,Sim,28.0,55.7,30.4,8,Carro_Particular,0
61,11.2,Sim,24.0,Sim,50.8,79.0,36.9,15,Transporte_Publico,1
61,4.5,Nao,16.9,Nao,33.5,46.7,20.6,6,Carro_Particular,0
22,6.7,Sim,18.8,Sim,45.4,66.8,36.4,5,Carro_Particular,0
56,6.9,Sim,7.6,Sim,5.0,37.5,14.5,10,Carro_Particular,0
21,8.5,Sim,25.6,Nao,60.0,83.5,36.7,9,Carro_Particular,0
23,9.1,Nao,13.4,Nao,29.5,33.7,12.3,9,Transporte_Publico,1
62,16.2,Nao,5.1,Sim,6.1,8.9,5.5,11,Carro_Particular,0
49,7.6,Nao,20.3,Nao,44.3,57.9,29.3,6,Carro_Particular,0
69,9.9,Sim,7.3,Sim,21.1,17.4,12.8,14,Transporte_Publico,1
47,12.9,Nao,3.8,Sim,8.2,10.8,8.7,8,Carro_Particular,0
64,8.2,Nao,26.0,Sim,43.2,83.1,43.0,5,Carro_Particular,0
52,16.9,Sim,14.3,Nao,27.1,45.2,13.4,12,Carro_Particular,0
57,12.2,Nao,22.7,Sim,50.6,69.7,35.1,11,Carro_Particular,0
69,6.6,Nao,9.4,Nao,21.3,26.3,13.3,7,Transporte_Publico,1
33,14.6,Sim,23.8,Nao,46.8,70.8,49.1,10,Carro_Particular,0
30,11.0,Sim,4.2,Nao,14.9,19.0,6.6,6,Carro_Particular,0
67,11.2,Sim,11.3,Nao,26.3,17.8,13.8,8,Transporte_Publico,1
59,10.1,Sim,29.4,Nao,60.0,88.1,44.7,13,Carro_Particular,0
47,10.4,Sim,24.0,Sim,45.9,74.3,36.0,5,Carro_Particular,0
36,15.5,Sim,15.4,Sim,28.3,52.5,13.2,8,Transporte_Publico,1
34,3.0,Nao,10.9,Nao,13.3,24.6,18.4,13,Carro_Particular,0
36,7.4,Nao,26.3,Sim,51.3,70.4,37.9,15,Carro_Particular,0
45,2.4,Nao,16.8,Nao,38.3,55.1,25.1,9,Carro_Particular,0
43,15.3,Sim,23.0,Nao,45.0,53.8,30.1,9,Carro_Particular,0
54,6.2,Sim,22.9,Sim,48.0,79.4,28.9,10,Carro_Particular,0
43,18.1,Sim,1.5,Nao,8.6,6.3,6.6,14,Transporte_Publico,1
70,11.0,Sim,4.7,Sim,11.3,26.6,12.6,13,Carro_Particular,0
40,16.2,Nao,20.1,Sim,42.6,51.6,32.2,5,Carro_Particular,0
26,19.6,Nao,5.7,Sim,5.0,13.6,5.0,8,Carro_Particular,0
29,17.0,Sim,8.4,Sim,15.2,5.9,15.0,9,Transporte_Publico,1
70,17.5,Nao,28.5,Nao,60.0,79.1,33.8,12,Carro_Particular,0
18,8.8,Nao,17.2,Nao,34.9,50.1,22.5,10,Carro_Particular,0
18,11.5,Sim,22.8,Nao,55.1,52.7,38.5,11,Carro_Particular,0
64,5.8,Nao,17.2,Sim,30.8,48.4,29.1,15,Carro_Particular,0
51,4.7,Sim,17.0,Sim,35.2,35.1,27.8,4,Transporte_Publico,1
49,10.6,Sim,3.7,Nao,5.5,9.0,12.1,6,Carro_Particular,0
65,12.3,Sim,11.0,Sim,25.0,42.2,19.3,8,Carro_Particular,0
42,7.4,Sim,9.2,Nao,22.9,27.3,5.0,7,Carro_Particular,0
57,11.8,Sim,12.3,Nao,27.6,50.2,16.6,4,Carro_Particular,0
62,17.9,Sim,24.2,Nao,53.6,78.9,36.1,5,Carro_Particular,0
70,11.6,Sim,11.8,Nao,23.5,46.2,16.9,11,Carro_Particular,0
18,14.7,Sim,14.1,Sim,27.2,36.2,18.1,13,Transporte_Publico,1
33,16.3,Sim,12.5,Nao,16.2,31.2,13.6,9,Carro_Particular,0
56,19.8,Sim,3.7,Sim,10.6,13.9,17.6,9,Transporte_Publico,1
22,12.5,Sim,13.8,Nao,28.5,28.8,18.8,6,Carro_Particular,0
39,16.3,Sim,6.7,Sim,13.1,23.9,21.8,12,Carro_Particular,0
46,19.3,Sim,6.4,Nao,11.8,16.6,5.0,12,Carro_Particular,0
20,18.9,Sim,3.7,Nao,7.2,21.7,8.8,10,Carro_Particular,0
29,3.7,Sim,11.3,Sim,21.4,39.3,18.1,6,Carro_Particular,0
43,8.7,Sim,23.0,Sim,43.4,77.8,29.9,5,Carro_Particular,0
33,7.2,Nao,9.0,Nao,19.2,21.0,11.2,4,Transporte_Publico,1
68,2.7,Sim,10.1,Sim,22.6,38.7,15.1,10,Carro_Particular,0
54,13.0,Sim,19.6,Sim,35.3,70.4,25.2,13,Transporte_Publico,1
39,15.0,Nao,6.7,Sim,11.4,19.8,8.8,13,Transporte_Publico,1
46,17.1,Nao,27.0,Sim,53.0,75.1,28.7,9,Carro_Particular,0
31,3.3,Nao,16.1,Nao,32.2,42.5,27.7,12,Transporte_Publico,1
45,17.7,Nao,14.0,Sim,27.4,51.9,27.1,14,Transporte_Publico,1
22,13.2,Sim,17.2,Sim,37.7,73.1,28.1,7,Transporte_Publico,1
64,14.4,Sim,5.8,Sim,5.0,9.5,20.0,8,Transporte_Publico,1
66,18.3,Sim,18.8,Sim,30.2,47.9,31.6,14,Transporte_Publico,1
47,12.9,Sim,11.5,Sim,24.0,41.9,23.0,7,Carro_Particular,0
63,7.4,Sim,27.0,Sim,51.0,75.0,46.7,14,Transporte_Publico,1
69,16.7,Sim,5.9,Sim,16.2,25.8,5.0,15,Carro_Particular,0
22,7.9,Sim,15.7,Sim,37.2,50.8,25.7,11,Transporte_Publico,1
29,1.7,Nao,18.3,Nao,37.8,54.7,20.5,13,Carro_Particular,0
33,16.8,Nao,2.0,Sim,5.0,9.5,5.0,12,Transporte_Publico,1
43,7.6,Sim,11.5,Nao,28.3,37.5,12.2,11,Transporte_Publico,1
43,15.7,Nao,22.2,Sim,45.4,65.2,31.7,7,Carro_Particular,0
65,7.9,Sim,24.8,Sim,42.2,60.3,40.5,4,Transporte_Publico,1
38,17.4,Nao,10.1,Nao,13.2,31.7,17.3,7,Carro_Particular,0
56,5.2,Sim,24.2,Sim,56.0,85.2,36.2,11,Carro_Particular,0
53,19.5,Nao,29.1,Nao,60.0,74.4,47.3,5,Transporte_Publico,1
50,15.8,Sim,25.8,Nao,39.0,69.7,42.6,4,Carro_Particular,0
47,3.2,Sim,4.4,Sim,5.0,16.6,8.8,5,Carro_Particular,0
54,11.7,Sim,22.5,Nao,50.7,67.8,25.1,11,Carro_Particular,0
40,19.7,Sim,10.3,Nao,20.5,34.2,11.8,15,Carro_Particular,0
27,10.0,Sim,29.7,Sim,60.0,83.5,44.7,15,Carro_Particular,0
22,4.5,Sim,15.1,Sim,29.9,54.6,26.3,9,Carro_Particular,0
53,10.2,Sim,4.6,Sim,12.5,14.2,5.0,13,Carro_Particular,0
51,10.7,Sim,22.0,Nao,44.0,71.6,32.9,12,Carro_Particular,0
69,15.1,Sim,10.4,Nao,18.6,33.8,7.8,9,Carro_Particular,0
48,14.3,Nao,29.9,Nao,60.0,90.0,50.0,10,Carro_Particular,0
27,8.6,Sim,29.4,Nao,59.8,90.0,45.3,5,Carro_Particular,0
36,5.1,Sim,20.0,Sim,43.3,61.5,23.3,14,Transporte_Publico,1
49,13.3,Sim,4.8,Sim,10.4,5.0,5.0,7,Transporte_Publico,1
18,9.0,Nao,20.9,Nao,39.4,71.4,33.3,8,Carro_Particular,0
22,3.5,Sim,3.7,Sim,15.4,17.6,12.4,11,Transporte_Publico,1
62,18.1,Nao,1.9,Nao,5.6,5.0,5.0,7,Transporte_Publico,1
21,14.1,Nao,24.9,Sim,48.0,69.5,41.3,6,Carro_Particular,0
33,14.0,Sim,7.1,Sim,20.6,29.6,7.9,11,Carro_Particular,0
41,16.6,Sim,12.0,Nao,17.4,21.4,22.1,4,Carro_Particular,0
33,11.1,Nao,29.2,Nao,60.0,90.0,47.2,12,Carro_Particular,0
19,16.5,Nao,10.8,Sim,20.7,31.3,17.0,9,Transporte_Publico,1
66,10.5,Sim,9.6,Nao,12.9,39.5,5.2,10,Carro_Particular,0
45,2.3,Sim,27.6,Sim,60.0,82.8,44.8,11,Carro_Particular,0
49,8.7,Nao,4.2,Nao,6.1,6.8,8.8,9,Transporte_Publico,1
44,10.5,Sim,23.0,Nao,47.2,71.5,36.6,10,Carro_Particular,0
37,14.7,Nao,29.7,Nao,60.0,88.9,45.5,11,Carro_Particular,0
41,3.0,Sim,27.1,Nao,60.0,74.8,36.3,12,Carro_Particular,0
29,3.7,Sim,19.9,Sim,41.3,77.4,35.3,12,Transporte_Publico,1
67,6.0,Nao,10.1,Sim,17.0,22.5,19.6,13,Carro_Particular,0
52,6.1,Sim,8.4,Nao,17.9,7.3,7.2,6,Transporte_Publico,1
50,14.9,Sim,24.8,Sim,47.5,87.1,43.8,8,Carro_Particular,0
50,5.8,Sim,26.5,Nao,54.2,74.8,40.4,14,Carro_Particular,0
68,13.0,Sim,16.2,Sim,40.5,46.2,24.9,8,Carro_Particular,0
60,10.4,Sim,8.1,Nao,20.0,21.4,11.3,5,Carro_Particular,0
54,11.9,Sim,4.3,Nao,9.6,8.3,6.1,9,Carro_Particular,0
29,16.9,Sim,3.5,Nao,10.7,5.0,12.1,5,Transporte_Publico,1
20,8.7,Nao,21.9,Sim,47.9,57.7,38.0,6,Transporte_Publico,1
18,15.6,Sim,13.2,Nao,21.0,40.1,24.9,15,Carro_Particular,0
50,9.0,Sim,27.3,Sim,54.8,78.7,41.9,10,Carro_Particular,0
57,7.7,Sim,22.5,Sim,57.8,73.3,38.2,7,Carro_Particular,0
27,19.2,Nao,6.5,Nao,19.1,23.4,5.6,15,Transporte_Publico,1
60,4.5,Nao,18.8,Nao,35.1,49.0,31.1,15,Transporte_Publico,1
61,2.7,Sim,13.6,Nao,24.2,41.7,19.6,8,Transporte_Publico,1
46,15.6,Sim,17.7,Sim,32.2,49.8,16.3,6,Transporte_Publico,1
30,2.3,Sim,22.4,Sim,49.1,59.3,25.7,13,Transporte_Publico,1
29,16.9,Nao,24.4,Sim,56.8,78.7,33.3,11,Carro_Particular,0
48,9.3,Nao,25.5,Sim,53.9,75.5,40.3,11,Carro_Particular,0
63,18.4,Sim,8.4,Sim,17.6,21.9,9.3,13,Transporte_Publico,1
19,14.7,Nao,1.9,Nao,5.0,5.0,5.0,11,Transporte_Publico,1
68,12.6,Nao,22.4,Sim,46.4,59.0,37.4,7,Transporte_Publico,1
67,19.0,Sim,4.1,Nao,5.0,28.2,5.0,11,Carro_Particular,0
52,8.5,Sim,10.1,Nao,10.5,33.0,21.8,7,Carro_Particular,0
40,19.1,Sim,1.1,Nao,10.4,5.0,7.5,12,Transporte_Publico,1
34,3.6,Sim,20.8,Nao,36.6,64.7,31.3,10,Carro_Particular,0
43,10.2,Nao,5.8,Nao,10.0,25.9,12.5,4,Carro_Particular,0
25,6.1,Sim,20.0,Sim,43.3,61.3,33.1,9,Carro_Particular,0
46,11.3,Sim,29.8,Sim,60.0,90.0,43.5,7,Carro_Particular,0
43,4.1,Sim,3.1,Sim,7.5,5.0,9.0,7,Transporte_Publico,1
